Year,Chl,NAO,Temperature,RSWT,Light,Secchi,Stratification,GSI,PO4,SiO4,NH4,NO32,precip,salinity,winStart,winMax,winDur,winEnd
2007,8.5925,0.34,3.9625,-2.965308648,211.91128,3.2125,1.043117966,0.389483333,0.301,10.19916667,0.5190625,3.4748125,0.170625,28.66666667,7,9,6,13
2008,20.594,0.1575,4.681875,-2.235720587,189.0748176,3.525,0.808378787,-0.173025,0.130625,2.692857143,0.1540625,0.2139375,0.163553571,29.75,1,9,15,16
2009,4.597692308,0.105,3.673125,0.288761255,224.362539,4.566666667,1.051570017,0.055525,0.455285714,12.975,1.623285714,4.665571429,0.11125,29.27272727,10,14,6,16
2010,8.538666667,-1.1725,4.39875,3.454752186,174.081156,2.911764706,2.538160922,-0.1823,0.170666667,12.75333333,1.451333333,3.175333333,0.235089286,29.41227273,4,6,6,10
2011,9.98,0.7275,2.99625,1.682011191,194.6821525,2.866666667,0.943492452,-0.7941,0.13,NA,1.557692308,1.202307692,0.126696429,26.23363636,1,4,15,16
2012,NA,0.8325,6.548,5.818882388,NA,NA,NA,0.84245,0.374406667,NA,3.116066667,4.128893333,0.057946429,NA,5,9,9,14
2013,3.4425,-0.255,3.58875,3.114215061,246.1088137,4.222222222,0.433831308,0.154783333,0.253125,NA,0.5775,1.773125,0.102946429,27.56153846,5,8,6,11
2014,5.18125,0.685,3.029375,3.678901479,205.367667,4.058823529,0.784621168,0.733458333,0.688571429,3.007142857,1.314285714,1.988571429,0.167209821,30.0525,2,5,7,9
2015,4.421875,1.3225,2.095625,3.120255795,210.4091911,4.176470588,0.905253425,1.316108333,0.406428571,5.163846154,0.792857143,3.330714286,0.114255952,30.7275,8,10,5,13
2016,5.470625,0.7025,5.015625,4.737956686,241.7140101,4.088235294,0.649149778,0.464833333,0.503125,5.0875,0.508125,1.849375,0.130446429,30.04666667,7,8,3,10
2017,9.64625,0.9875,4.0325,4.889767332,352.7828472,3.088235294,0.832575793,-0.121333333,0.573125,1.23125,0.475333333,0.33,0.139821429,30.36583333,1,6,10,11
2018,17.6925,0.8325,3.061875,5.339231183,217.2943046,3.166666667,1.431941907,0.455825,0.203125,5.7575,0.33,2.0415625,0.182946429,28.89083333,1,5,8,9
2019,8.675,0.645,4.29,NA,228.7158203,2.852941176,0.620999321,NA,0.291875,4.638125,0.601875,2.4594375,0.165035714,28.76833333,2,6,9,11
