Year,Month,Week,Chl
2001,10,41,8.571348108
2001,10,42,7.92556681
2001,10,43,7.628677749
2001,10,44,7.855174244
2001,11,45,7.950797652
2001,11,46,7.898795242
2001,11,47,7.117419225
2001,11,48,5.97870538
2001,12,49,4.929021325
2001,12,50,3.847455364
2001,12,51,2.939469023
2001,12,52,2.323396468
2002,1,1,1.899355123
2002,1,2,1.502193325
2002,1,3,1.350757854
2002,1,4,1.361233565
2002,1,5,1.54413615
2002,2,6,2.082337527
2002,2,7,2.835389737
2002,2,8,3.887411982
2002,2,9,5.205690965
2002,3,10,6.401377929
2002,3,11,6.037827234
2002,3,12,5.358332905
2002,3,13,4.692873049
2002,4,14,4.004417927
2002,4,15,3.513260433
2002,4,16,3.270989183
2002,4,17,3.346005989
2002,4,18,3.695356331
2002,5,19,4.100486047
2002,5,20,4.762684541
2002,5,21,5.384678827
2002,5,22,5.89904691
2002,6,23,6.33528824
2002,6,24,6.581512257
2002,6,25,6.910529704
2002,6,26,7.26722998
2002,7,27,7.66923584
2002,7,28,7.916262254
2002,7,29,7.678550444
2002,7,30,7.331340699
2002,7,31,7.112222609
2002,8,32,6.968843603
2002,8,33,6.795521926
2002,8,34,6.765950188
2002,8,35,6.585771468
2002,8,36,5.972129014
2002,9,37,5.51924147
2002,9,38,5.67749251
2002,9,39,6.87022194
2002,9,40,8.01908439
2002,10,41,8.468436429
2002,10,42,7.831674138
2002,10,43,7.139772758
2002,10,44,6.387559249
2002,11,45,5.840880715
2002,11,46,5.152426797
2002,11,47,4.311753014
2002,11,48,3.811474798
2002,12,49,3.93238397
2002,12,50,4.438941126
2002,12,51,5.04446348
2002,12,52,5.618189616
2003,1,1,6.208232764
2003,1,2,6.776209292
2003,1,3,7.353818306
2003,1,4,7.835986152
2003,1,5,8.076233151
2003,2,6,8.452962598
2003,2,7,8.270208875
2003,2,8,7.631722977
2003,2,9,7.276137487
2003,3,10,6.979184785
2003,3,11,6.663771799
2003,3,12,6.516122147
2003,3,13,6.883113074
2003,3,14,7.299009601
2003,4,15,7.65216483
2003,4,16,7.602717735
2003,4,17,7.339734014
2003,4,18,6.400457383
2003,5,19,5.545027126
2003,5,20,4.800531933
2003,5,21,4.226490626
2003,5,22,4.167460814
2003,5,23,4.244945561
2003,6,24,4.239757343
2003,6,25,4.96399933
2003,6,26,5.330469002
2003,6,27,5.105605583
2003,7,28,4.719891353
2003,7,29,4.002946706
2003,7,30,3.364768236
2003,7,31,2.840602481
2003,8,32,2.99918369
2003,8,33,3.360137815
2003,8,34,3.945242023
2003,8,35,4.774123465
2003,8,36,5.934324601
2003,9,37,7.042389723
2003,9,38,7.698668651
2003,9,39,8.277195987
2003,9,40,7.731494822
2003,10,41,7.080403753
2003,10,42,6.061342091
2003,10,43,4.930874446
2003,10,44,3.920976672
2003,10,45,3.085043328
2003,11,46,2.544241688
2003,11,47,2.161245308
2003,11,48,1.908987717
2003,12,49,1.847031748
2003,12,50,1.948555493
2003,12,51,2.208224928
2003,12,52,2.836508714
2004,1,1,4.254484862
2004,1,2,6.544286611
2004,1,3,10.52605658
2004,1,4,14.94665154
2004,1,5,17.73688811
2004,1,6,17.92536354
2004,2,7,16.24903621
2004,2,8,13.61097686
2004,2,9,11.26050672
2004,3,10,8.959438518
2004,3,11,6.976969848
2004,3,12,6.14626721
2004,3,13,5.689278398
2004,3,14,5.705445597
2004,4,15,5.883316359
2004,4,16,5.589944817
2004,4,17,4.848139476
2004,4,18,4.314983531
2004,5,19,4.280737122
2004,5,20,4.032278729
2004,5,21,4.556917125
2004,5,22,4.733826672
2004,6,23,4.930215218
2004,6,24,4.656139214
2004,6,25,3.996962164
2004,6,26,2.931102647
2004,6,27,1.882452924
2004,7,28,1.15873663
2004,7,29,0.976096966
2004,7,30,0.930583198
2004,7,31,1.105000536
2004,8,32,1.735153881
2004,8,33,2.543126454
2004,8,34,3.418282433
2004,8,35,5.074706119
2004,8,36,7.215425831
2004,9,37,8.919277762
2004,9,38,9.736535149
2004,9,39,10.45832424
2004,9,40,10.54970729
2004,10,41,9.778374928
2004,10,42,8.707979613
2004,10,43,6.972657096
2004,10,44,5.872436221
2004,11,45,4.711100557
2004,11,46,4.318799688
2004,11,47,3.459562451
2004,11,48,3.065396065
2004,11,49,2.897661757
2004,12,50,2.70111653
2004,12,51,2.548825313
2004,12,52,2.289511719
2005,1,1,2.107042155
2005,1,2,1.924500472
2005,1,3,1.611286646
2005,1,4,1.378529755
2005,1,5,1.27571408
2005,2,6,1.260277304
2005,2,7,1.294671572
2005,2,8,1.476430917
2005,2,9,1.855488799
2005,3,10,2.170085174
2005,3,11,2.282326927
2005,3,12,2.348025662
2005,3,13,2.663529981
2005,3,14,3.072974197
2005,4,15,3.946618322
2005,4,16,5.028659272
2005,4,17,6.240081898
2005,4,18,6.675680776
2005,5,19,6.902602041
2005,5,20,6.790702359
2005,5,21,6.570448405
2005,5,22,6.231407602
2005,5,23,5.888975221
2005,6,24,5.624533379
2005,6,25,5.395771824
2005,6,26,5.600054975
2005,6,27,5.96259572
2005,7,28,5.928287114
2005,7,29,6.137725249
2005,7,30,6.723405829
2005,7,31,6.871142149
2005,8,32,7.119111305
2005,8,33,7.313967046
2005,8,34,7.769243328
2005,8,35,8.562429955
2005,8,36,9.278460373
2005,9,37,9.117940145
2005,9,38,9.178530936
2005,9,39,8.326801255
2005,9,40,6.793354702
2005,10,41,5.194479909
2005,10,42,4.104680921
2005,10,43,3.437678891
2005,10,44,2.920934979
2005,10,45,2.786357586
2005,11,46,2.788436913
2005,11,47,2.88236883
2005,11,48,3.02751718
2005,11,49,3.108147962
2005,12,50,2.853474571
2005,12,51,2.738830421
2005,12,52,2.676053566
2006,1,1,2.938712228
2006,1,2,2.854095895
2006,1,3,2.567032849
2006,1,4,2.201094716
2006,1,5,2.110041702
2006,2,6,2.150597627
2006,2,7,2.247210955
2006,2,8,2.405271039
2006,3,9,2.675008543
2006,3,10,2.884147238
2006,3,11,2.837394471
2006,3,12,2.608384661
2006,3,13,2.301011931
2006,4,14,2.116764698
2006,4,15,1.974508171
2006,4,16,1.998384623
2006,4,17,2.20654468
2006,5,18,2.30642987
2006,5,19,2.340836128
2006,5,20,2.55236679
2006,5,21,2.81653609
2006,6,22,3.343332131
2006,6,23,3.778673926
2006,6,24,4.169069417
2006,6,25,4.189130753
2006,6,26,4.317348637
2006,7,27,4.485932264
2006,7,28,4.507250578
2006,7,29,4.47952287
2006,7,30,4.458409346
2006,7,31,4.538540507
2006,8,32,4.275473454
2006,8,33,4.082898357
2006,8,34,4.19959815
2006,8,35,4.395782913
2006,9,36,4.667737731
2006,9,37,5.07363849
2006,9,38,5.660811344
2006,9,39,6.153410003
2006,10,40,6.609132197
2006,10,41,7.824448688
2006,10,42,8.588779134
2006,10,43,8.700769316
2006,10,44,8.198683692
2006,11,45,7.663925152
2006,11,46,7.323437409
2006,11,47,6.979979736
2006,11,48,6.366397093
2006,12,49,5.536522981
2006,12,50,5.095648743
2006,12,51,4.988159771
2006,12,52,4.944710052
2007,1,1,4.624230778
2007,1,2,4.768201756
2007,1,3,5.201625109
2007,1,4,5.861268379
2007,1,5,6.117132498
2007,2,6,6.959647449
2007,2,7,8.166307489
2007,2,8,9.059917943
2007,2,9,8.907182975
2007,3,10,8.372027757
2007,3,11,7.791206947
2007,3,12,7.298745201
2007,3,13,7.462554127
2007,4,14,7.866798654
2007,4,15,8.046123423
2007,4,16,8.763545313
2007,4,17,10.57537054
2007,5,18,12.00141003
2007,5,19,12.18622133
2007,5,20,12.1975527
2007,5,21,10.93640053
2007,5,22,9.156510532
2007,6,23,7.557128793
2007,6,24,6.632117856
2007,6,25,6.299456319
2007,6,26,5.503062534
2007,7,27,5.066665525
2007,7,28,4.902863094
2007,7,29,4.851461389
2007,7,30,5.235714535
2007,7,31,5.818667858
2007,8,32,5.973187205
2007,8,33,6.367657454
2007,8,34,6.74306375
2007,8,35,6.807811151
2007,9,36,7.383696287
2007,9,37,9.11183639
2007,9,38,10.57946155
2007,9,39,11.93287785
2007,10,40,12.07515005
2007,10,41,11.32407482
2007,10,42,9.757803162
2007,10,43,8.902216235
2007,10,44,7.624728348
2007,11,45,6.305012956
2007,11,46,5.344846857
2007,11,47,4.563519366
2007,11,48,4.158876675
2007,12,49,4.187565131
2007,12,50,4.733747533
2007,12,51,5.9740794
2007,12,52,7.904089011
2008,1,1,10.64991066
2008,1,2,14.06106659
2008,1,3,15.4674458
2008,1,4,14.95332133
2008,1,5,13.49304879
2008,2,6,13.97589248
2008,2,7,15.6382576
2008,2,8,17.97759287
2008,2,9,19.37452589
2008,3,10,19.48703642
2008,3,11,18.34707584
2008,3,12,16.6490216
2008,3,13,14.83044571
2008,4,14,12.74450697
2008,4,15,11.54520819
2008,4,16,9.87801509
2008,4,17,8.599280306
2008,4,18,7.465170131
2008,5,19,6.445681741
2008,5,20,5.680744111
2008,5,21,5.015874537
2008,5,22,4.421757051
2008,6,23,4.052013539
2008,6,24,3.810692214
2008,6,25,3.749766613
2008,6,26,3.944087744
2008,7,27,4.089954245
2008,7,28,4.364231179
2008,7,29,5.045864075
2008,7,30,5.776276848
2008,7,31,6.840935806
2008,8,32,7.897955447
2008,8,33,8.398014426
2008,8,34,8.787056238
2008,8,35,8.269631644
2008,9,36,7.741264017
2008,9,37,7.500185828
2008,9,38,7.561452792
2008,9,39,7.862362298
2008,9,40,8.16215999
2008,10,41,8.491509437
2008,10,42,8.386997545
2008,10,43,6.911561778
2008,10,44,6.023579248
2008,11,45,5.285380176
2008,11,46,4.866993102
2008,11,47,4.733365452
2008,11,48,4.572423178
2008,12,49,4.404884751
2008,12,50,4.205677849
2008,12,51,3.874421235
2008,12,52,3.295011031
2009,1,1,2.784692141
2009,1,2,2.379267106
2009,1,3,2.142922024
2009,1,4,1.998148909
2009,1,5,2.016122238
2009,2,6,2.229075142
2009,2,7,2.57848054
2009,2,8,3.142137834
2009,2,9,3.963212816
2009,3,10,5.092096523
2009,3,11,6.061642715
2009,3,12,6.243480546
2009,3,13,6.609461073
2009,3,14,6.659423208
2009,4,15,6.500388052
2009,4,16,6.101284319
2009,4,17,5.463731103
2009,4,18,4.703658979
2009,5,19,4.042308092
2009,5,20,3.586407956
2009,5,21,3.599187176
2009,5,22,3.76264532
2009,5,23,3.991543851
2009,6,24,4.408919558
2009,6,25,4.922188175
2009,6,26,5.352395451
2009,6,27,5.5152892
2009,7,28,5.383251271
2009,7,29,5.507822207
2009,7,30,5.57893998
2009,7,31,5.620928282
2009,8,32,5.886960712
2009,8,33,5.92610323
2009,8,34,5.832480866
2009,8,35,5.659869905
2009,8,36,5.606183494
2009,9,37,5.532958983
2009,9,38,5.398122387
2009,9,39,4.997150628
2009,9,40,4.674857419
2009,10,41,4.325139614
2009,10,42,3.991814583
2009,10,43,3.587105406
2009,10,44,3.003823703
2009,11,45,2.55589976
2009,11,46,2.153325691
2009,11,47,1.849678659
2009,11,48,1.670494202
2009,11,49,1.630801608
2009,12,50,1.579021653
2009,12,51,1.583221956
2009,12,52,1.718807886
